created_date,week,sentiment.compound,text,id
2017-04-20 13:48:14,16,-0.7506,"Failing @nytimes, which has been calling me wrong for two years, just got caught in a big lie concerning New England Patriots visit to W.H.",855055509455593472
2017-04-21 10:50:33,16,-0.7777,"No matter how much I accomplish during the ridiculous standard of the first 100 days, &amp; it has been a lot (including S.C.), media will kill!",855373184861962240
2017-04-17 12:17:59,16,-0.807,The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!,853945633903923200
2017-04-21 10:32:01,16,-0.8439,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!,855368516920332289
2017-04-18 09:39:25,16,-0.8832,The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!,854268119774367745
2017-04-18 10:38:59,16,-0.9735,"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",854283110191685634
2017-04-10 21:59:10,15,0.9571,Congratulations to Justice Neil Gorsuch on his elevation to the United States Supreme Court. A great day for Americ… https://t.co/RM9lfTaePS,851555178910064640
2017-04-13 19:21:07,15,0.9348,It was a great honor to welcome Atlanta's heroic first responders to the White House this afternoon! https://t.co/ZtC14AJ0xs,852602568433950720
2017-04-12 12:37:07,15,0.9324,"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily &amp; predicted victory!",852138509355933697
2017-04-12 21:48:48,15,0.8957,Great meeting w/ NATO Sec. Gen. We agreed on the importance of getting countries to pay their fair share &amp; focus on… https://t.co/G9TdjWezmH,852277347587952640
2017-04-10 23:56:35,15,0.8807,"Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach",851584729400979456
2017-04-13 00:32:25,15,0.8588,"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",852318522139168769
2017-04-11 12:59:20,15,0.8519,"Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare &amp; Tax Cuts (Reform).",851781714028494849
2017-04-11 20:27:35,15,0.8271,Great Strategic &amp; Policy CEO Forum today with my Cabinet Secretaries and top CEO's from around the United States.… https://t.co/pmGIL08OpP,851894518014238720
2017-04-13 13:08:20,15,0.8268,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",852508752142114816
2017-04-13 13:16:30,15,0.68,Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses &amp; there will be lasting peace!,852510810287075329
